,acc_mobile_x,acc_mobile_y,acc_mobile_z,gyr_mobile_x,gyr_mobile_y,gyr_mobile_z,mag_mobile_x,mag_mobile_y,mag_mobile_z,prox_mobile_distance,loc_mobile_latitude,loc_mobile_longitude,loc_mobile_height,loc_mobile_velocity,loc_mobile_direction,loc_mobile_horizontalAccuracy,loc_mobile_verticalAccuracy,labelWalking,labelRunning,labelSitting,labelLunges,labelStanding,labelPushups,labelPullups,labelDance
1970-01-01 00:00:00,0.5625801086333333,1.6573036193333335,9.681816559,-0.66971678536,-0.4603677094,-0.1862884666846667,-19.71800740666667,-11.981206258,-38.58172607666666,2.5,52.318156885,4.872714545,-4.408018589,-1.0,-1.0,649.0022235,649.0022235,1,0,0,0,0,0,0,0
1970-01-01 00:00:01,-1.1466156005376666,-2.40824203497,-6.349396361666667,-2.93648514125,0.7502914350500001,-0.56960701925,-19.92827606075,11.51127242975,8.790557861000002,,,,,,,,,1,0,0,0,0,0,0,0
1970-01-01 00:00:02,-7.7246115875,-3.4776432035000004,0.03824546800000039,0.842919688725,-3.445906585175,-0.7146223206675001,8.06589507975,8.25702285625,21.61920166,5.0,,,,,,,,1,0,0,0,0,0,0,0
1970-01-01 00:00:03,2.9727182006666673,-2.2941293338,10.144105223666665,-0.49791672082499994,-0.3113718778,0.08920946717499997,-10.14570617525,23.524673460000002,-40.4638519275,0.0,52.31856408,4.873311678,-6.036272049,2.3250000475,48.33984375,10.0,10.0,1,0,0,0,0,0,0,0
1970-01-01 00:00:04,0.9978998565000002,-10.934311985,3.4009277344999997,0.14353026457500007,0.8243470416000002,0.024936336557499994,-0.9675292972499999,37.5581817625,-29.19969177,,52.31852611,4.873306565,-2.45230484,1.730000019,201.09375,10.0,10.0,1,0,0,0,0,0,0,0
1970-01-01 00:00:05,3.3057756039999995,-4.390669555766666,6.453829193,1.3188991845500002,-0.44694389590000005,-1.0034107361249998,-2.04534149225,40.0997047425,-23.9269104025,,52.31852414,4.873335902,-2.255283356,0.7599999905,125.5078125,10.0,10.0,1,0,0,0,0,0,0,0
1970-01-01 00:00:06,1.9705771637,-7.9665834055,8.125178604,-1.2681605742750002,0.286253020225,-1.649979188925,-19.2762298575,28.781982422499997,-26.959732053175,,52.31852414,4.873335902,-2.066928864,0.0,-1.0,10.0,10.0,1,0,0,0,0,0,0,0
1970-01-01 00:00:07,5.515580291666667,-6.517696380666666,0.9566606140333332,0.42496514315,-1.8951334283749999,-0.30205675200000004,-24.365112304999997,38.748443605,6.55860900905,,52.31852414,4.873335902,-2.273105621,0.0,-1.0,10.0,10.0,1,0,0,0,0,0,0,0
1970-01-01 00:00:08,7.9269158915,-1.4459181975000002,-10.129510575000001,1.3637935968500001,-0.023900047100000085,0.06688387677500002,-12.060195923,27.19861221375,31.052413939999997,,52.31852414,4.873335902,-2.221408844,0.0,-1.0,10.0,10.0,1,0,0,0,0,0,0,0
1970-01-01 00:00:09,8.012787323,-7.043303375333334,-2.752426300166667,-0.04508557265750002,0.7162506580000003,-3.06143851394,-15.9743270875,41.7643508925,-0.1499786377500001,,52.31852414,4.873335902,-2.257968903,0.0,262.96875,10.0,10.0,1,0,0,0,0,0,0,0
1970-01-01 00:00:10,7.450756073,-2.2118753815499996,2.0811971285000004,-0.4615061133499999,1.062294796225,0.060457073149999985,-30.376495360000003,35.5967483525,-9.684829711999999,,52.31853097,4.873368256,-2.235813141,0.2899999917,256.640625,10.0,10.0,1,0,0,0,0,0,0,0
1970-01-01 00:00:11,10.122100981,1.487082596,-6.858812027,-0.10686437039999999,-0.95917664714645,-0.28750006666499994,-27.1846694925,35.0999755875,-14.631759644,,52.31852879,4.873367166,-2.209812164,0.3899999857,229.921875,10.0,10.0,1,0,0,0,0,0,0,0
1970-01-01 00:00:12,6.353138580666666,-6.840026093666666,0.8822154236666666,0.02715414775000019,-0.3441200814,0.8492166027075,-23.370712281249997,37.188705445,6.142807008075,,52.31852779,4.8733724469999995,-2.181369781,0.3199999928,129.7265625,10.0,10.0,1,0,0,0,0,0,0,0
1970-01-01 00:00:13,4.957765274,-8.177569656500001,0.9316625979,0.38691068067499995,-0.23710553345,0.297822028475,-4.71430206075,43.313453675000005,-14.0488128675,,52.31852628,4.873383343,-2.106052399,0.349999994,101.6015625,10.0,10.0,1,0,0,0,0,0,0,0
1970-01-01 00:00:14,1.8760487366333336,-9.006570739999999,2.5926585386666665,-0.0055812446876499985,-0.2679967097975,-0.06192130594999999,7.486518861,40.919876099999996,-21.6098632825,5.0,52.31852775,4.873389797,-2.039951324,0.3300000131,103.359375,10.0,10.0,1,0,0,0,0,0,0,0
1970-01-01 00:00:15,2.467618561,-9.2441766355,1.976190491,-0.007297254400000001,-0.0026707213796000016,-0.008580717260999996,4.72820281975,42.8849792475,-18.7828826925,,52.31852594,4.873397173,-2.294956207,0.3300000131,121.2890625,10.0,10.0,1,0,0,0,0,0,0,0
1970-01-01 00:00:16,2.6803761290000003,-9.125423584,2.0608644103333336,-0.00484847160975,0.00803590333075,0.006195628551750001,4.6459274292499995,43.027267455,-18.460083009999998,,52.31852938,4.873401113,-2.1873512269999997,0.200000003,121.2890625,10.0,10.0,1,0,0,0,0,0,0,0
1970-01-01 00:00:17,2.6704467774999996,-9.1404423525,1.9965481565000003,-8.313449999999747e-06,0.0004697067192500001,-0.01021267334075,4.80517578125,43.000938415,-18.3825683575,,52.31852938,4.873401113,-2.191074371,0.0,121.2890625,10.0,10.0,1,0,0,0,0,0,0,0
